SalesOrderID,CustomerID,FirstName,LastName,TotalDue,NombreCompleto,TotalConImpuesto
74658,11023,Chloe,Lee,6.9394,Chloe Lee,8.038800
60998,11024,Chloe,Walker,46.7194,Chloe Walker,54.183600
62830,11024,Chloe,Walker,15.7242,Chloe Walker,18.235200
43732,11025,Marshall,Sun,3729.364,Marshall Sun,4326.057600
51561,11025,Marshall,Sun,2658.0444,Marshall Sun,3083.326400
69157,11025,Marshall,Sun,879.9557,Marshall Sun,1020.742000
43811,11026,Joe,Martinez,3756.989,Joe Martinez,4358.096800
55132,11026,Joe,Martinez,2651.4144,Joe Martinez,3075.635600
68468,11026,Joe,Martinez,857.8447,Joe Martinez,995.094400
43775,11027,Chloe,Hall,3756.989,Chloe Hall,4358.096800
58536,11027,Chloe,Hall,2666.3208,Chloe Hall,3092.931200
69088,11027,Chloe,Hall,860.3751,Chloe Hall,998.029200
43831,11028,Julia,Smith,3729.364,Julia Smith,4326.057600
57943,11028,Julia,Smith,2604.7944,Julia Smith,3021.556400
67961,11028,Julia,Smith,820.2968,Julia Smith,951.536400
43794,11029,Joe,Gonzalez,3756.989,Joe Gonzalez,4358.096800
57294,11029,Joe,Gonzalez,2661.9119,Joe Gonzalez,3087.815600
70593,11029,Joe,Gonzalez,835.7447,Joe Gonzalez,969.458400
43956,11030,Julia,Johnston,3756.989,Julia Johnston,4358.096800
62739,11030,Julia,Johnston,2563.589,Julia Johnston,2973.752800
70449,11030,Julia,Johnston,830.2307,Julia Johnston,963.066800
43933,11031,Julia,Williams,3756.989,Julia Williams,4358.096800
62222,11031,Julia,Williams,2566.1194,Julia Williams,2976.687600
70748,11031,Julia,Williams,835.7447,Julia Williams,969.458400
44021,11032,Joe,Sanchez,3729.364,Joe Sanchez,4326.057600
64042,11032,Joe,Sanchez,2651.1492,Joe Sanchez,3075.322400
70373,11032,Joe,Sanchez,830.2307,Joe Sanchez,963.066800
43998,11033,Julia,Jones,3729.364,Julia Jones,4326.057600
63409,11033,Julia,Jones,2602.2529,Julia Jones,3018.610000
