BusinessEntityID,FirstName,LastName,ModifiedDate,BusinessEntityID_TXT,FechaTexto
29,Mark,McArthur,2009-01-16 00:00:00,29,2009-01-16 00:00:00
30,Britta,Simon,2009-01-22 00:00:00,30,2009-01-22 00:00:00
31,Margie,Shoop,2008-12-28 00:00:00,31,2008-12-28 00:00:00
32,Rebecca,Laszlo,2008-12-22 00:00:00,32,2008-12-22 00:00:00
33,Annik,Stahl,2008-12-10 00:00:00,33,2008-12-10 00:00:00
34,Suchitra,Mohan,2009-02-09 00:00:00,34,2009-02-09 00:00:00
35,Brandon,Heidepriem,2009-02-01 00:00:00,35,2009-02-01 00:00:00
36,Jose,Lugo,2009-02-03 00:00:00,36,2009-02-03 00:00:00
37,Chris,Okelberry,2009-02-28 00:00:00,37,2009-02-28 00:00:00
38,Kim,Abercrombie,2010-01-09 00:00:00,38,2010-01-09 00:00:00
39,Ed,Dudenhoefer,2010-01-29 00:00:00,39,2010-01-29 00:00:00
40,JoLynn,Dobney,2007-12-19 00:00:00,40,2007-12-19 00:00:00
41,Bryan,Baker,2009-01-14 00:00:00,41,2009-01-14 00:00:00
42,James,Kramer,2008-12-20 00:00:00,42,2008-12-20 00:00:00
43,Nancy,Anderson,2008-12-26 00:00:00,43,2008-12-26 00:00:00
44,Simon,Rapier,2008-12-01 00:00:00,44,2008-12-01 00:00:00
45,Thomas,Michaels,2009-02-19 00:00:00,45,2009-02-19 00:00:00
46,Eugene,Kogan,2009-02-01 00:00:00,46,2009-02-01 00:00:00
47,Andrew,Hill,2009-02-15 00:00:00,47,2009-02-15 00:00:00
48,Ruth,Ellerbrock,2007-12-30 00:00:00,48,2007-12-30 00:00:00
49,Barry,Johnson,2013-11-29 00:00:00,49,2013-11-29 00:00:00
50,Sidney,Higa,2008-01-26 00:00:00,50,2008-01-26 00:00:00
51,Jeffrey,Ford,2008-02-13 00:00:00,51,2008-02-13 00:00:00
52,Doris,Hartwig,2014-01-31 00:00:00,52,2014-01-31 00:00:00
53,Diane,Glimp,2008-03-21 00:00:00,53,2008-03-21 00:00:00
54,Bonnie,Kearney,2009-12-25 00:00:00,54,2009-12-25 00:00:00
55,Taylor,Maxwell,2013-12-31 00:00:00,55,2013-12-31 00:00:00
56,Denise,Smith,2009-01-29 00:00:00,56,2009-01-29 00:00:00
57,Frank,Miller,2009-02-16 00:00:00,57,2009-02-16 00:00:00
58,Kendall,Keil,2008-11-28 00:00:00,58,2008-11-28 00:00:00
59,Bob,Hohman,2008-12-17 00:00:00,59,2008-12-17 00:00:00
60,Pete,Male,2009-01-04 00:00:00,60,2009-01-04 00:00:00
61,Diane,Tibbott,2009-01-11 00:00:00,61,2009-01-11 00:00:00
62,John,Campbell,2014-02-07 00:00:00,62,2014-02-07 00:00:00
63,Maciej,Dusza,2010-01-22 00:00:00,63,2010-01-22 00:00:00
64,Michael,Zwilling,2010-02-16 00:00:00,64,2010-02-16 00:00:00
65,Randy,Reeves,2010-02-16 00:00:00,65,2010-02-16 00:00:00
66,Karan,Khanna,2009-12-15 00:00:00,66,2009-12-15 00:00:00
67,Jay,Adams,2009-02-26 00:00:00,67,2009-02-26 00:00:00
68,Charles,Fitzgerald,2009-11-26 00:00:00,68,2009-11-26 00:00:00
69,Steve,Masters,2009-02-08 00:00:00,69,2009-02-08 00:00:00
70,David,Ortiz,2008-12-08 00:00:00,70,2008-12-08 00:00:00
71,Michael,Ray,2009-02-08 00:00:00,71,2009-02-08 00:00:00
72,Steven,Selikoff,2008-11-24 00:00:00,72,2008-11-24 00:00:00
73,Carole,Poland,2008-12-12 00:00:00,73,2008-12-12 00:00:00
74,Bjorn,Rettig,2008-12-31 00:00:00,74,2008-12-31 00:00:00
75,Michiko,Osada,2009-01-19 00:00:00,75,2009-01-19 00:00:00
76,Carol,Philips,2009-02-05 00:00:00,76,2009-02-05 00:00:00
77,Merav,Netz,2009-02-24 00:00:00,77,2009-02-24 00:00:00
78,Reuben,D'sa,2008-12-08 00:00:00,78,2008-12-08 00:00:00
79,Eric,Brown,2010-01-17 00:00:00,79,2010-01-17 00:00:00
80,Sandeep,Kaliyath,2010-01-10 00:00:00,80,2010-01-10 00:00:00
81,Mihail,Frintu,2009-12-22 00:00:00,81,2009-12-22 00:00:00
82,Jack,Creasey,2010-02-24 00:00:00,82,2010-02-24 00:00:00
83,Patrick,Cook,2010-02-05 00:00:00,83,2010-02-05 00:00:00
84,Frank,Martinez,2010-01-29 00:00:00,84,2010-01-29 00:00:00
85,Brian,Goldstein,2009-12-04 00:00:00,85,2009-12-04 00:00:00
86,Ryan,Cornelsen,2008-12-29 00:00:00,86,2008-12-29 00:00:00
87,Cristian,Petculescu,2008-12-15 00:00:00,87,2008-12-15 00:00:00
88,Betsy,Stadick,2009-12-11 00:00:00,88,2009-12-11 00:00:00
89,Patrick,Wedge,2010-01-25 00:00:00,89,2010-01-25 00:00:00
90,Danielle,Tiedt,2010-02-13 00:00:00,90,2010-02-13 00:00:00
91,Kimberly,Zimmerman,2010-01-05 00:00:00,91,2010-01-05 00:00:00
92,Tom,Vande Velde,2010-03-03 00:00:00,92,2010-03-03 00:00:00
93,Kok-Ho,Loh,2008-12-20 00:00:00,93,2008-12-20 00:00:00
94,Russell,Hunter,2008-12-05 00:00:00,94,2008-12-05 00:00:00
95,Jim,Scardelis,2008-12-12 00:00:00,95,2008-12-12 00:00:00
96,Elizabeth,Keyser,2009-02-23 00:00:00,96,2009-02-23 00:00:00
97,Mandar,Samant,2009-02-03 00:00:00,97,2009-02-03 00:00:00
98,Sameer,Tejani,2009-02-04 00:00:00,98,2009-02-04 00:00:00
99,Nuan,Yu,2008-12-30 00:00:00,99,2008-12-30 00:00:00
100,Lolan,Song,2009-01-05 00:00:00,100,2009-01-05 00:00:00
